ID;Date;global_id;AdmArea;District;Longitude_WGS84;Latitude_WGS84;Location;Results;ID_en;Date_en;AdmArea_en;District_en;Longitude_WGS84_en;Latitude_WGS84_en;Location_en;Results_en;geodata_center;geoarea
Код;Дата выезда;global_id;Административный округ;Район;Долгота в WGS-84;Широта в WGS-84;Описание местоположения контрольной точки;Результаты выезда;ID_en;Date_en;AdmArea_en;District_en;Longitude_WGS84_en;Latitude_WGS84_en;Location_en;Results_en;geodata_center;geoarea
103;11.03.2016;272399481;Юго-Восточный административный округ;район Марьино;37.746472;55.659195;улица Перерва, дом 39;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.;;;;;;;;;;
104;10.03.2016;272399482;Центральный административный округ;Красносельский район;37.632260;55.762905;Милютинский переулок, дом 12;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.;;;;;;;;;;
105;11.03.2016;272399483;Северо-Западный административный округ;район Митино;37.357923;55.829820;улица Рословка, дом 6, корпус 2;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.;;;;;;;;;;
106;11.03.2016;272399484;Северо-Западный административный округ;район Щукино;37.455031;55.795514;Живописная улица, дом 40;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.;;;;;;;;;;
113;14.03.2016;272399485;Зеленоградский административный округ;район Крюково;37.189678;55.964282;город Зеленоград, корпус 2308А;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.;;;;;;;;;;
114;15.03.2016;272399486;Зеленоградский административный округ;район Силино;37.173436;55.994954;город Зеленоград, корпус 1133;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.;;;;;;;;;;
115;15.03.2016;272399487;Зеленоградский административный округ;район Савёлки;37.253225;55.993847;город Зеленоград, корпус 534;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.;;;;;;;;;;
116;15.03.2016;272399488;Восточный административный округ;район Новокосино;37.860481;55.731131;Салтыковская улица, дом 3/17;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов;;;;;;;;;;
117;02.03.2016;272399489;Восточный административный округ;район Вешняки;37.830725;55.743566;Кетчерская улица, дом 12;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов;;;;;;;;;;
